iter	Passed	Remaining
718	109533	42808
719	109680	42653
720	109835	42502
721	109999	42354
722	110155	42203
723	110328	42058
724	110509	41917
725	110631	41753
726	110767	41594
727	110939	41449
728	111047	41281
729	111188	41124
730	111374	40984
731	111546	40839
732	111769	40712
733	111937	40565
734	112136	40430
735	112290	40277
736	112472	40135
737	112653	39993
738	112834	39850
739	113022	39710
740	113199	39566
741	113357	39415
742	113466	39247
743	113587	39083
744	113757	38936
745	113909	38784
746	114083	38638
747	114311	38511
748	114478	38363
749	114652	38217
750	114823	38070
751	115014	37930
752	115160	37774
753	115296	37616
754	115455	37465
755	115624	37318
756	115773	37163
757	115929	37011
758	116096	36863
759	116253	36711
760	116391	36554
761	116563	36406
